species,trophic_level,Lmax,K,tm,habitat_dummy,site,mu,lower95,upper95,nutrient
Lethrinus rubrioperculatus,0.188484857,-0.278681114,0.117940441,-0.956766869,1,M1,0.153749205,0.098854646,0.242564534,omega3
Diagramma pictum,0.088484857,0.414466066,0.221481137,-1.473211869,1,M1,0.127996466,0.080481206,0.213571851,omega3
Epinephelus fasciatus,0.480192585,-0.299619765,-0.851655864,1.257448123,0,M1,39.41856977,32.08231065,48.87798734,Ca
Hipposcarus harid,-1.219807415,0.328988894,-0.583391877,0.357448123,0,M1,33.98831337,27.35158485,42.86924196,Ca
Plectorhinchus vittatus,0.410192585,0.288166899,-0.851655864,1.357448123,0,M1,34.95563104,29.12592397,42.76089582,Ca
Lutjanus rivulatus,0.880192585,0.393527415,-0.325562768,-0.642551877,0,M1,33.12480479,27.5568323,40.42946304,Ca
Parupeneus trifasciatus,0.280192585,-0.433151158,0.194312691,-1.642551877,0,M1,36.87223546,31.22848648,44.62203454,Ca
Aethaloperca rogaa,0.980192585,0.105845343,-0.526233464,0.057448123,0,M1,35.58445528,29.49786266,43.55112208,Ca
Epinephelus tukula,0.980192585,1.309818147,-0.851655864,1.157448123,0,M1,28.64652106,21.75471758,38.81778217,Ca
Cheilinus trilobatus,0.680192585,-0.18183673,-0.472166242,0.057448123,0,M1,37.36567284,31.17871968,45.02748856,Ca
Lutjanus fulviflamma,0.580192585,-0.433151158,1.083204449,-2.642551877,0,M1,32.93812798,27.1273801,40.68023731,Ca
Lethrinus obsoletus,0.680192585,0.105845343,0.220980938,-1.642551877,0,M1,33.03398721,27.5021609,39.59001856,Ca
Parupeneus cyclostomus,0.980192585,-0.076476214,-0.120768356,-1.042551877,0,M1,35.59248536,29.4298856,43.13483812,Ca
Anyperodon leucogrammicus,0.680192585,0.18588805,-0.583391877,0.257448123,0,M1,35.16073276,29.36972298,42.31235835,Ca
Halichoeres scapularis,0.280192585,-0.992766946,0.710529164,-2.342551877,0,M1,38.72040436,31.42084192,48.90996784,Ca
Plectorhinchus schotaf,0.410192585,0.393527415,-0.777547892,0.957448123,0,M1,34.18772278,28.39830478,41.27354996,Ca
Lutjanus argentimaculatus,0.380192585,1.022136075,-0.472166242,-0.342551877,0,M1,29.67603744,23.67871879,37.24864244,Ca
Epinephelus spilotoceps,0.670192585,-0.433151158,-0.01540784,-1.142551877,0,M1,37.67704988,31.44665713,45.81852876,Ca
Macolor niger,0.780192585,0.328988894,-0.420872948,-0.342551877,0,M1,33.81091201,28.24636706,40.88273987,Ca
Parupeneus rubescens,0.280192585,-0.227299104,0.017381983,-1.342551877,0,M1,36.11843994,31.01043301,43.38193684,Ca
Epinephelus fasciatus,3.7,3.688879454,-2.040220829,4.8,0,M1,0.614899367,0.207535442,1.301116729,Fe
Hipposcarus harid,2,4.317488114,-1.771956842,3.9,0,M1,0.727025788,0.252236519,1.524232917,Fe
Plectorhinchus vittatus,3.63,4.276666119,-2.040220829,4.9,0,M1,0.636551853,0.189721539,1.438480841,Fe
Lutjanus rivulatus,4.1,4.382026635,-1.514127733,2.9,0,M1,0.642301976,0.192777633,1.485921088,Fe
Parupeneus trifasciatus,3.5,3.555348061,-0.994252273,1.9,0,M1,0.652545271,0.239767765,1.323846441,Fe
Aethaloperca rogaa,4.2,4.094344562,-1.714798428,3.6,0,M1,0.620621393,0.179382537,1.386855215,Fe
Epinephelus tukula,4.2,5.298317367,-2.040220829,4.7,0,M1,0.650183579,0.146505584,1.688052214,Fe
Cheilinus trilobatus,3.9,3.80666249,-1.660731207,3.6,0,M1,0.624255548,0.190040519,1.323047207,Fe
Lutjanus fulviflamma,3.8,3.555348061,-0.105360516,0.9,0,M1,0.653551383,0.228895819,1.44491272,Fe
Lethrinus obsoletus,3.9,4.094344562,-0.967584026,1.9,0,M1,0.652577925,0.207368917,1.46454646,Fe
Parupeneus cyclostomus,4.2,3.912023005,-1.30933332,2.5,0,M1,0.62729112,0.202785862,1.38776984,Fe
Anyperodon leucogrammicus,3.9,4.17438727,-1.771956842,3.8,0,M1,0.634047366,0.180249973,1.397641139,Fe
Halichoeres scapularis,3.5,2.995732274,-0.478035801,1.2,0,M1,0.642291261,0.258006846,1.261133118,Fe
Plectorhinchus schotaf,3.63,4.382026635,-1.966112856,4.5,0,M1,0.645524323,0.178125672,1.450434673,Fe
Lutjanus argentimaculatus,3.6,5.010635294,-1.660731207,3.2,0,M1,0.683490702,0.179260589,1.652371689,Fe
Epinephelus spilotoceps,3.89,3.555348061,-1.203972804,2.4,0,M1,0.62969008,0.224357697,1.312769638,Fe
Macolor niger,4,4.317488114,-1.609437912,3.2,0,M1,0.640575716,0.191836331,1.456276853,Fe
